Price,Close,High,Low,Open,Volume,rsi,macd,bb_high,bb_low,bb_width,return,target
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,,,,,,,
Date,,,,,,,,,,,,
2019-12-17,1793.4410400390625,1824.1645600177592,1783.0627229245044,1809.5800659833817,2189167,33.16544197471487,-7.186166155401409,1914.5112154315043,1799.4435208966206,6.196504949796327,-0.016723195666936586,0
2019-12-18,1763.448974609375,1798.2414884805078,1744.0638166025626,1792.2065296332948,3986106,28.734299144039966,-9.328396073293117,1923.041987281281,1781.95626711325,7.615966890169948,0.011692646094391579,1
2019-12-19,1784.068359375,1798.0585871197127,1764.820494700871,1766.5120958232053,2035095,35.14932581686787,-8.726844081327005,1923.8483006730487,1772.2300684675763,8.204275833075755,-0.004100077946845082,0
2019-12-20,1776.7535400390625,1792.1153570341964,1766.1008601052959,1783.0628617199218,2169685,33.98073294512645,-8.199882497034345,1925.9566396421083,1762.3265756899232,8.87296633143475,0.0037567420225053105,1
2019-12-23,1783.4283447265625,1794.035258692487,1777.9419983697046,1782.3767726841643,807062,36.0694253289422,-6.835822618486901,1922.5571714870441,1755.4848817356121,9.084849348312657,-0.0020507404424893183,0
2019-12-24,1779.77099609375,1796.5958159503073,1774.284649072265,1784.8915643231328,790621,35.40839332326162,-5.6623856838408955,1918.7780451274011,1749.0274236225987,9.256249981144938,-0.0007449990685797214,0
2019-12-26,1778.445068359375,1786.9489509214507,1772.5472899379465,1783.7943460206895,862164,35.156839301188555,-4.5082494631087116,1906.8116964435212,1747.433384122885,8.72291314932455,0.002544920311054577,1
2019-12-27,1782.9710693359375,1787.1314814982047,1768.4322298174718,1780.227896280378,937907,36.80717497494798,-3.042980652139839,1893.3679359477442,1748.3271324116308,7.965565529980294,-0.006487426930352869,0
2019-12-30,1771.4041748046875,1786.9488236479858,1762.4888614975018,1782.97124465032,1117498,34.39769008766004,-2.479587200496205,1889.4697573019073,1743.2597104715303,8.049597313944307,-0.007355763005532978,0
2019-12-31,1758.3741455078125,1779.95375388271,1755.722388903013,1773.9187947400708,706593,31.866960930329128,-2.598728129340717,1884.0608503977965,1737.677662785797,8.08358676802015,0.007046151434531245,1
2020-01-01,1770.763916015625,1773.8271035075782,1753.8019185061628,1764.7746103841994,543035,36.640399858632655,-1.5112675553029007,1878.9321298340312,1734.4031118651876,7.999756917150977,0.0007746397411625416,1
2020-01-02,1772.1356201171875,1785.4399429303196,1764.774727512464,1773.91863801771,663275,37.16527401964041,-0.42424178862631123,1868.6350547682057,1734.6464637864817,7.437031510958275,-0.0054693922817100615,0
2020-01-03,1762.443115234375,1773.9187684099795,1754.487957158066,1771.9985693867334,1598825,34.96137570047368,-0.09959727421582087,1859.386832546879,1733.8363974335896,6.988178973448969,-0.006225960030015409,0
